Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
あやまる岬,https://www.south-west.co.jp/images/scene_img/asj/ayamarumisaki3.jpg,,,奄美10景のひとつに数えられる景勝地。展望台から水平線を眺めると「地球って本当に丸いんだなぁ」と実感できます。晴れた日の午前中に訪れるのがおススメです。,13,Numbered,green,,28.4735799,129.717406,,,,
MISHORAN CAFÉ,https://www.south-west.co.jp/images/scene_img/asj/mishorancafe.jpg,,,"あやまる岬公園の中にある売店。観光案内所も兼ねています。奄美大島でブログサービスやコンテンツ制作を担うしーまさんが運営しているだけあって、地域と外から来た人を編むようなお店です。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2445"" target=""_blank"">島の魅力を編集し、新しい形で伝える場所MISHORAN CAFE-ミショランカフェ-</a>",13,Numbered,green,,28.4719578,129.716022,,,,
土盛海岸,https://www.south-west.co.jp/images/scene_img/asj/tomorikaigan2.jpg,,,空港から車でわずか５分のきれいな海岸。何もしないでいつまでもぼーっと眺めていられます。,13,Numbered,green,,28.4611491,129.718468,,,,
コーラルパームス,https://www.south-west.co.jp/images/hotel_img/nansei/asj/coralpalms.jpg,,,"空港から一番近いリゾートホテル。小型犬と一緒に泊まれるお部屋があって好評なようです。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/coralpalms.htm"" target=""_blank"">コーラルパームス宿泊情報</a>",13,Numbered,blue,,28.4575891,129.720176,,,,
魚匠,https://www.south-west.co.jp/images/scene_img/asj/uoshou.jpg,,,"船上での生き締めなど鮮度維持の徹底によって奄美産海産物の販売拡大に取り組む奄美漁協直営の水産物加工品市場。毎週火、水、土曜日午前１１時から午後２時までは、漁協婦人部の奥さまたちが運営する食堂もオープンします。奄美大島近海でよく獲れる高級魚アオダイを使った「ウンギャル丼」定食がおススメ。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2392"" target=""_blank"">新鮮美味な島魚を届けたい！奄美漁協の取り組み</a>",13,Numbered,red,,28.4632127,129.672226,,,,
奄美空港,https://www.south-west.co.jp/images/scene_img/asj/amami_airport.jpg,,,奄美大島の玄関口。レンタカー各社の事務所がすぐ近くにあります。お土産のお店も3店あって、充実しています。,13,Numbered,green,,28.4310102,129.71008,,,,
奄美パーク・田中一村美術館,https://www.south-west.co.jp/images/scene_img/asj/amamipark2.jpg,,,奄美大島の歴史、文化、自然を展示品交え紹介する奄美の郷があります。空港から車で5分、観光の手始めに奄美大島のことを知るのに便利な施設です。奄美の自然をモチーフとした画をたくさん残した日本画家田中一村の美術館も併設しています。,13,Numbered,green,,28.4177578,129.693955,,,,
味の郷かさり,https://www.south-west.co.jp/images/scene_img/asj/ajinosatokasari_tennai.jpg,,,"「自家消費にもおすそ分けにも回らない農家さんの野菜が捨てられるがもったいない」と地元の生活研究グループの女性たちが運営するお店。奄美大島産の野菜や果物が並ぶほか、店の裏のキッチンで手作りした古くから島の家庭に伝わるお菓子、ミキや味噌などを販売している。地元産の珍しい野菜の食べ方も教えてくれるので、一棟貸しの宿に長期で滞在する際の自炊用食材の買い出しにもおススメ。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2972"" target=""_blank"">島の野菜の生産者と買い手をつなぐ「味の郷かさり」-</a>",13,Numbered,green,,28.4147333,129.690499,,,,
節田立神,https://www.south-west.co.jp/images/scene_img/asj/setta.jpg,,,"海から豊穣の神様がやってくるとされる奄美大島では、海岸から少し沖にそびえる岩や小島を、神が最初に立ち寄る神聖な場所として信仰の対象としてきました。この岩・小島のことを「立神（たちがみ）」と呼びます。奄美各地にある立神の中でも節田集落の立神は大きく迫力があり、地元の方から祈り・憩い・遊びの場として身近に親しまれています。しまのまでも記事で紹介しています。<br /><a href=""https://shimanoma.jp/archives/2201"" target=""_blank"">奄美大島で身近に愛される立神 -節田立神-</a>",13,Numbered,green,,28.4100749,129.681724,,,,
ティダムーン,https://www.south-west.co.jp/images/hotel_img/nansei/asj/thidamoon2.jpg,,,"太平洋を見渡す海辺にたつリゾートホテル。リニューアルごとに洗練の度を増しています。もともとシルクがモチーフで大島紬美術館を併設、貴重な大島紬を多数見学できます。<br /><a href=""https://www.south-west.co.jp/amami/amamiooshima/shukuhaku/thidamoon.htm"" target=""_blank"">ティダムーン宿泊情報</a>",13,Numbered,blue,,28.4101732,129.669092,,,,
